1980 - List of State Data

For explanatory notes see the Methods page on our website: www.usreligioncensus.org

State,Population,PopRank,Adherents,AdhRank,Congregations,ConRank,Adherents %,Adh% Rank,Congregations Per 10K People,Con Per 10K Rank
Alabama,3893888,22,2235170,19,8054,9,57.4,14,21,6
Alaska,401851,51,123434,51,579,46,30.7,50,14,19
Arizona,2718215,29,1073012,32,2096,35,39.5,43,8,39
Arkansas,2286435,33,1284100,28,5493,17,56.2,16,24,3
California,23667902,1,8157906,2,11421,3,34.5,47,5,51
Colorado,2889964,28,1057709,33,2373,34,36.6,45,8,35
Connecticut,3107576,25,1913148,22,1725,36,61.6,9,6,46
Delaware,594338,48,239532,48,463,50,40.3,40,8,38
District of Columbia,638333,47,312444,46,376,51,48.9,30,6,44
Florida,9746324,7,3753873,9,6818,12,38.5,44,7,42
Georgia,5463105,13,2570084,15,7485,11,47.0,32,14,21
Hawaii,964691,39,320288,45,558,47,33.2,48,6,45
Idaho,943935,41,472497,40,1393,40,50.1,27,15,18
Illinois,11426518,5,6297355,5,9358,6,55.1,17,8,36
Indiana,5490224,12,2458653,17,6590,15,44.8,33,12,25
Iowa,2913808,27,1783704,23,4534,23,61.2,10,16,16
Kansas,2363679,32,1263168,30,3869,26,53.4,25,16,13
Kentucky,3660777,23,1982830,21,6704,13,54.2,21,18,8
Louisiana,4205900,19,2413059,18,3960,25,57.4,15,9,32
Maine,1124660,38,461335,42,1290,41,41.0,39,11,27
Maryland,4216975,18,1695948,25,3107,29,40.2,41,7,40
Massachusetts,5737037,11,3709251,10,2945,30,64.7,6,5,48
Michigan,9262078,8,3952916,8,6595,14,42.7,37,7,41
Minnesota,4075970,21,2653161,13,4818,21,65.1,5,12,26
Mississippi,2520638,31,1387371,27,5395,18,55.0,18,21,4
Missouri,4916686,15,2634435,14,7571,10,53.6,24,15,17
Montana,786690,44,348301,44,1273,42,44.3,35,16,14
Nebraska,1569825,35,992303,34,2604,32,63.2,8,17,11
Nevada,800493,43,233781,49,475,49,29.2,51,6,43
New Hampshire,920610,42,407939,43,774,43,44.3,34,8,34
New Jersey,7364823,9,3988369,7,3708,27,54.2,22,5,50
New Mexico,1302894,37,767737,37,1594,39,58.9,12,12,23
New York,17558072,2,8721200,1,8989,7,49.7,28,5,49
North Carolina,5881766,10,3173793,11,10281,4,54.0,23,17,10
North Dakota,652717,46,482574,39,1695,38,73.9,3,26,1
Ohio,10797630,6,5346227,6,10060,5,49.5,29,9,33
Oklahoma,3025290,26,1754071,24,5329,19,58.0,13,18,9
Oregon,2633105,30,949471,35,2628,31,36.1,46,10,31
Pennsylvania,11863895,4,7231834,4,12386,2,61.0,11,10,29
Rhode Island,947154,40,715569,38,498,48,75.5,1,5,47
South Carolina,3121820,24,1605231,26,4994,20,51.4,26,16,15
South Dakota,690768,45,462277,41,1710,37,66.9,4,25,2
Tennessee,4591120,17,2492387,16,8529,8,54.3,20,19,7
Texas,14229191,3,7781967,3,16111,1,54.7,19,11,28
Utah,1461037,36,1098578,31,2422,33,75.2,2,17,12
Vermont,511456,49,244730,47,716,44,47.8,31,14,20
Virginia,5346818,14,2232913,20,6496,16,41.8,38,12,24
Washington,4132156,20,1280918,29,3381,28,31.0,49,8,37
West Virginia,1949644,34,774064,36,4159,24,39.7,42,21,5
Wisconsin,4705767,16,3038209,12,4698,22,64.6,7,10,30
Wyoming,469557,50,207484,50,628,45,44.2,36,13,22
